metric,mean,std,median,min,max,n
Dice,0.09776121028146134,0.03338356340687805,0.09776121028146134,0.0741554662162868,0.1213669543466359,2
IoU,0.055081261646944296,0.018898251688512058,0.055081261646944296,0.0417181797254273,0.0684443435684613,2
Precision,0.15528043846507375,0.15836522223060892,0.15528043846507375,0.0432993159216956,0.2672615610084519,2
Recall,0.4474417411129695,0.2678468313308489,0.4474417411129695,0.2580454303595969,0.6368380518663422,2
F1,0.4089224173076344,0.4066633463001,0.4089224173076344,0.1213680074788204,0.6964768271364484,2
HD95 (px),84.9136358417623,17.749960700803864,84.9136358417623,72.36251826442917,97.46475341909544,2
